WDPAID,Site,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unknown,Average,Source,Notes
555581023,North Warren,,,,,,,22400,22400,22400,,,,,,,,,,,,,,,22400,"Burton, G., pers. comm. In Balmford et al., (2015)",
555581044,Northward Hill,,,,,,,,20500,21275,,,,,,,,,,,,,,,20889,"Burton, G., pers. comm. In Balmford et al., (2015)",
1481,Noss,,,,,,,,,,,,,"1,372",,,,,,,,,,,"1,372",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
1481,Noss,,,,,,,,,,,,,,,,,,"1,457","1,935",,,,,1686,https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
1481,Noss,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
11093,Ogof Ffynnon Ddu,,,,,,,,,,,,,,,,75000,11000,,,,,,,43000,"Hellawell, T., (NRW), pers. comm., (2019)",
10996,Old Winchester Hill,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
138390,Otmoor,,,,,,,,3656,5000,,,,,,,,,,,,,,,4328,"Burton, G., pers. comm. In Balmford et al., (2015)",
136594,Ouse Washes,,,,,,,11634,10365,10271,,,,,,,,,,,,,,,10757,"Burton, G., pers. comm. In Balmford et al., (2015)",
11094,Oxwich,,,,,,,,,,,,,,,,250000,,,,,,,,250000,"Hellawell, T., (NRW), pers. comm., (2019)",
10999,Parsonage Down,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11720,Pevensey Levels,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11000,Pewsey Downs,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11001,Prescombe Down,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
146718,Pulborough,28067,79709,17585,22049,29179,,121956,90000,97323,,,,,,,,,,,,,,,60734,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
146718,Pulborough,,,,,,,,,,,,,,,,,,,,,,,75479,75479,"Sheil, A., Rayment, G., and Burton, G., (2002)",Camera
555581046,Pulborough,28067,79709,17585,22049,29179,,121956,90000,97323,,,,,,,,,,,,,,,60734,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
555581046,Pulborough,,,,,,,,,,,,,,,,,,,,,,,75479,75479,"Sheil, A., Rayment, G., and Burton, G., (2002)",Camera
136386,Radipole,35097,29417,25940,23985,26804,,16048,25000,26020,,,,,,,,,,,,,,,26039,"Burton, G., pers. comm. In Balmford et al., (2015)",
169623,Ramsay Island,,,,,,,,,,,,,,,,4500,,,,,,,,4500,"Hellawell, T., (NRW), pers. comm., (2019)",
555580938,Ramsey Island,,,,,,,,,,,,,,,,4500,,,,,,,,4500,"Hellawell, T., (NRW), pers. comm., (2019)",
3231,Rhinog,,,,,,,,,,,,,,,,6000,,,,,,,,6000,"Hellawell, T., (NRW), pers. comm., (2019)",
11002,Rodney Stoke,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11003,Rostherne Mere,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
140368,Roudsea Wood & Mosses,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11004,Roudsea Woods & Mosses,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
1450,Rum,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
137111,Rutland Water,,,,,,,,,,,,,,,,,,,,,*,,,*,*,
140632,Rye Meads,11084,12289,8985,5080,12465,,22412,15076,17259,,,,,,,,,,,,,,,13081,"Burton, G., pers. comm. In Balmford et al., (2015)",
136578,Salcey Forest,,,,,,,,,,,,,,,,,,,,,*,,,*,*,
138114,Saltfleetby - Theddlethorpe Dunes,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11006,Saltfleetby Theddlethorpe,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581048,Saltholme,,,,,,,,,,,,,,,,,,,,,,,*,*,*,Camera
135887,Sands of Forvie and Ythan Estuary,,,,,,,,,,,,,25000,,,,,,,,,,,25000,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
142796,Sandybeck Meadows,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
4484,Scolt Head Island,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11008,Shapwick Heath,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
1482,Skomer Island,,,,,,,,,,,,,,,,,,,,,,,15000,15000,"Hellawell, T., (NRW), pers. comm., (2019)",
1482,Skomer Island,,,,,,,,,,,,,,,,18235,,,,,,,,18235,"Hellawell, T., (NRW), pers. comm., (2019)",
1482,Skomer Island,,,,,,,,,,,,,,,,,,,,,,,19000,19000,"Gavigan. G., (Welsh WT), pers. comm., (2019)",
139750,Skomer Island & Middleholm,,,,,,,,,,,,,,,,,,,,,,,15000,15000,"Hellawell, T., (NRW), pers. comm., (2019)",
139750,Skomer Island & Middleholm,,,,,,,,,,,,,,,,18235,,,,,,,,18235,"Hellawell, T., (NRW), pers. comm., (2019)",
139750,Skomer Island & Middleholm,,,,,,,,,,,,,,,,,,,,,,,19000,19000,"Gavigan. G., (Welsh WT), pers. comm., (2019)",
555581095,Snettisham,,,,,,,18716,17814,25999,,,,,,,,,,,,,,,20843,"Burton, G., pers. comm. In Balmford et al., (2015)",
26608,Somerset Levels,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142801,South Solway Mosses,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581067,South Stack Cliffs,,,,,,,,,,,,,,,,,,,,,,,"37,735","37,735","Sheil, A., Rayment, G., and Burton, G., (2002)",
135891,Spey Bay,,,,,,,,,,,,,,,,,,91561,95058,,,,,"93,310",https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
20587,Spurn,,,,,,,,,,,,,,,,,,,,,41771,,,41771,"Whelpdale, P., (Yorkshire WT), pers. comm., (2019)",
142802,Spurn Head,,,,,,,,,,,,,,,,,,,,,41771,,,41771,"Whelpdale, P., (Yorkshire WT), pers. comm., (2019)",
135864,St Cyrus and Kinnaber Links,,,,,,,,,,,,,30000,,,,,,,,,,,30000,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
10560,Stackpole,,,,,,,,,,,,,,,,350000,,,,,,,,350000,"Hellawell, T., (NRW), pers. comm., (2019)",
11009,Stiperstones,,,,,,,,,,,,,,*,*,*,*,*,*,*,*,,,*,*,
11009,Stiperstones,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11010,Stodmarsh,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
,Strumpshaw Fen,,,,,,,,,,,,,,,,,,,,,,,*,*,*,Camera
11011,Studland and Godlingston Heath,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
183410,Suffolk Coast,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11013,Swanscombe Skull Site,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11014,Swanton Novers,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
39883,Tarn Moss,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11065,Taynish,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
135755,Taynish Woods,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
142808,Teesmouth,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
142808,Teesmouth,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
341279,Tentsmuir,,,,,,,,,,,,,,,,*,*,*,*,*,*,,,*,*,
140154,The Cheddar Complex,,,,,,,,,,,,,,,,,,,,,*,,,*,*,
11722,The Flits,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555580996,The Lodge,,,,,,,,,,,,,,,,,,,,,,,37487,37487,"Sheil, A., Rayment, G., and Burton, G., (2002)",
555580996,The Lodge,38275,39603,36315,40450,47094,,60674,51461,45575,,,,,,,,,,,,,,,44931,"Burton, G., pers. comm. In Balmford et al., (2015)",
137801,The Stiperstones & The Hollies,,,,,,,,,,,,,,*,*,*,*,*,*,*,*,,,*,*,
137801,The Stiperstones & The Hollies,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11723,The Wash,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
93276,Thornhill Moss,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
135653,Threave and Carlingwark Loch,,,,,,,,,,,,,50997,,,,,,,,,,,50997,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
93277,Thrislington,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11016,Thursley,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581097,Titchwell Marsh,137700,136730,114414,111005,95690,,111332,91166,86974,,,,,,,,,,,,,,,110626,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
555581097,Titchwell Marsh,,,,,,,,,,,,,,,,,,,,,,,127081,127081,"Sheil, A., Rayment, G., and Burton, G., (2002)",Camera
555581097,Titchwell Marsh,,,,,,,,,,,,,,,,,,,,,,,*,*,*,Camera
555580997,Tudeley Woods,,,,,,,,8000,8000,,,,,,,,,,,,,,,8000,"Burton, G., pers. comm. In Balmford et al., (2015)",
12449,Ty Canol,,,,,,,,,,,,,,,,9600,,,,,,,,9600,"Hellawell, T., (NRW), pers. comm., (2019)",
138863,Upper Teesdale,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
169630,Valley of Stones,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142813,Walton Moss,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
140578,West Sedgemoor,9482,10300,6800,3700,8200,,11925,13935,15065,,,,,,,,,,,,,,,9926,"Burton, G., pers. comm. In Balmford et al., (2015)",
11021,Westleton Heath,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11097,Whiteford,,,,,,,,,,,,,,,,20000,,,,,,,,20000,"Hellawell, T., (NRW), pers. comm., (2019)",
140533,Winterton - Horsey Dunes,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142825,Wistman Wood,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581107,Wolves Wood Reserves,3920,3650,,,4330,,,4000,4000,,,,,,,,,,,,,,,3980,"Burton, G., pers. comm. In Balmford et al., (2015)",
555581009,Wood Of Cree,7936,5816,8792,5814,3950,,,8000,9288,,,,,,,,,,,,,,,7085,"Burton, G., pers. comm. In Balmford et al., (2015)",
11023,Woodwalton Fen,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11025,Wybunbury Moss,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11026,Wychwood,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11027,Wye,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
11027,Wye,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11028,Wylye Down,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11029,Wyre Forest,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142904,Y Berwyn,,,,,,,,,,,,,,,,2500,,,,,,,,2500,"Hellawell, T., (NRW), pers. comm., (2019)",
11727,Ynys Enlli (bardsey),,,,,,,,,,,,,,,,3000,,,,,,,,3000,"Hellawell, T., (NRW), pers. comm., (2019)",
139829,Ynys Enlli: Bardsey Island,,,,,,,,,,,,,,,,3000,,,,,,,,3000,"Hellawell, T., (NRW), pers. comm., (2019)",
555581100,Ynys-Hir,,,,,,,,,,,,,,,,,,,,,,,"11,006","11,006","Sheil, A., Rayment, G., and Burton, G., (2002)",
555595742,Yr Eifl,,,,,,,,,,,,,,,,2500,,,,,,,,2500,"Hellawell, T., (NRW), pers. comm., (2019)",
3233,Yr Wyddfa,,,,,,,,,,,,,,,,449000,,,,,,,,449000,"Hellawell, T., (NRW), pers. comm., (2019)",
