Site,Full days active,Full day images,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Notes
Caerlaverock,30,5052,1st,51,8,0.156862745,792.4705882,26.41568627,30,792.4705882,
Cairnsmore of Fleet,30,3033,1st,96,12,0.125,379.125,12.6375,30,379.125,
Glasdrum Wood,30,648,1st,33,8,0.242424242,157.0909091,5.236363636,30,157.0909091,
Insh Marshes,24,1414,1st,72,23,0.319444444,451.6944444,18.82060185,30,564.6180556,25th - faulty
Kirkconnell Flow,30,4825,1st,99,10,0.101010101,487.3737374,16.24579125,30,487.3737374,
Loch Garten,30,2827,1st,177,61,0.344632768,974.2768362,32.47589454,30,974.2768362,
Low Barns,20,3497,1st,132,40,0.303030303,1059.69697,52.98484848,30,1589.545455,
