Site,Full days active,Full day images,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Notes
Cairnsmore of Fleet,31,1859,1st,117,28,0.239316239,444.8888889,14.35125448,31,444.8888889,
Glasdrum Wood,31,291,1st,30,9,0.3,87.3,2.816129032,31,87.3,
Kirkconnell Flow,31,4564,1st,124,13,0.10483871,478.483871,15.43496358,31,478.483871,
