Site,Full days active,Full day images,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Notes
Cairnsmore of Fleet,18,1749,1st,168,31,0.18452381,322.7321429,17.92956349,31,555.8164683,19th - serviced
Glasdrum Wood,20,363,1st,18,2,0.111111111,40.33333333,2.016666667,31,62.51666667,21st - serviced
Kirkconnell Flow,18,2732,1st,189,16,0.084656085,231.2804233,12.8489124,31,398.3162845,19th - serviced
