B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Mycteria ibis,CICONIIFORMES,Ciconiidae,Yellow-billed Stork,4,0,1,1,0,LC,5,4,Diurnal,Carnivore,Aquatic,Colonial,3.335758693,7.183014513,13.863071,11
Tauraco macrorhynchus,MUSOPHAGIFORMES,Musophagidae,Yellow-billed Turaco,6,0.045454545,1,1,1,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,2.388278863,6.103940704,30.337532,4
Apalis flavida,PASSERIFORMES,Cisticolidae,Yellow-breasted Apalis,6,0.045454545,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,0.913813852,6.686348135,5.875147,2
Trachyphonus margaritatus,PICIFORMES,Lybiidae,Yellow-breasted Barbet,5,0.020833333,1,0,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,1.740362689,6.343074382,8.981039,1
Laniarius atroflavus,PASSERIFORMES,Malaconotidae,Yellow-breasted Boubou,4,0.022727273,0,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.633468456,4.732914493,7.01728,1
Hemimacronyx chloris,PASSERIFORMES,Motacillidae,Yellow-breasted Pipit,5,0,1,1,0,VU,3,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.399673728,4.298286922,5.466219,2
Camaroptera superciliaris,PASSERIFORMES,Cisticolidae,Yellow-browed Camaroptera,5,0.027777778,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.986771726,6.498452889,6.560927,2
Ploceus dorsomaculatus,PASSERIFORMES,Ploceidae,Yellow-capped Weaver,3,0.025,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.245510206,5.524884437,2.91794,1
Ceratogymna elata,BUCEROTIFORMES,Bucerotidae,Yellow-casqued Hornbill,5,0.017857143,1,1,1,VU,3,1,Diurnal,Herbivore,Forest,Not colonial,3.284430734,5.693494541,12.378383,3
Agapornis personatus,PSITTACIFORMES,Psittacidae,Yellow-collared Lovebird,5,0.072916667,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,1.720159303,5.30870097,3.945077,5
Prionops alberti,PASSERIFORMES,Vangidae,Yellow-crested Helmetshrike,2,0.068181818,1,0,0,VU,3,1,Diurnal,Carnivore,Forest,Not colonial,1.787460469,4.528059686,8.294381,2
