B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Ciconia abdimii,CICONIIFORMES,Ciconiidae,Abdim's Stork,4,0.035714286,1,0,0,LC,5,4,Diurnal,Carnivore,Artificial,Colonial,3.145507171,7.245498986,16.833612,4
Parophasma galinieri,PASSERIFORMES,Sylviidae,Abyssinian Catbird,5,0,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,1.33243846,4.897272971,11.728761,6
Cryptospiza salvadorii,PASSERIFORMES,Estrildidae,Abyssinian Crimsonwing,4,0.025,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,1.086359824,5.407818455,3.668892,1
Geokichla piaggiae,PASSERIFORMES,Turdidae,Abyssinian Ground-thrush,5,0.038461538,1,0,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,1.708420887,5.51600624,6.499922,1
Macronyx flavicollis,PASSERIFORMES,Motacillidae,Abyssinian Longclaw,7,0.023809524,1,1,0,NT,4,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.401654068,5.607444006,6.583448,3
Coracias abyssinicus,CORACIIFORMES,Coraciidae,Abyssinian Roller,5,0.044117647,1,1,1,LC,5,4,Diurnal,Carnivore,Shrubland,Not colonial,2.008600172,6.840134861,9.169707,8
Rhinopomastus minor,BUCEROTIFORMES,Phoeniculidae,Abyssinian Scimitarbill,4,0.078947368,1,1,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.336459734,6.314065578,21.244498,2
Melaenornis chocolatinus,PASSERIFORMES,Muscicapidae,Abyssinian Slaty-flycatcher,6,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.369215857,5.307120837,4.69615,2
Dendropicos abyssinicus,PICIFORMES,Picidae,Abyssinian Woodpecker,5,0.020833333,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.389166084,5.556390521,3.048776,4
Tricholaema leucomelas,PICIFORMES,Lybiidae,Acacia Pied Barbet,4,0.041666667,1,0,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,1.507855882,6.492145998,5.659007,2
Streptopelia hypopyrrha,COLUMBIFORMES,Columbidae,Adamawa Turtle-dove,6,0,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,2.209515015,5.724205012,4.620512,2
Columba unicincta,COLUMBIFORMES,Columbidae,Afep Pigeon,4,0,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,2.591621038,6.431223144,5.657607,3
Glaucidium capense,STRIGIFORMES,Strigidae,African Barred Owlet,3,0.035714286,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,2.086359831,6.607217753,11.352086,3
Anas sparsa,ANSERIFORMES,Anatidae,African Black Duck,4,0.055555556,1,0,0,LC,5,1,Diurnal,Omnivore,Aquatic,Not colonial,2.992332559,6.962776832,2.058148,3
Elminia longicauda,PASSERIFORMES,Stenostiridae,African Blue-flycatcher,6,0,1,1,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.995635195,6.588760305,13.959319,5
Smithornis capensis,PASSERIFORMES,Calyptomenidae,African Broadbill,4,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.365487999,6.5722588,15.511631,6
Streptopelia roseogrisea,COLUMBIFORMES,Columbidae,African Collared-dove,5,0,1,0,0,LC,5,4,Diurnal,Herbivore,Open vegetation,Not colonial,2.190331698,6.779455689,5.150013,1
Sarkidiornis melanotos,ANSERIFORMES,Anatidae,African Comb Duck,7,0.060344828,1,0,1,LC,5,4,Diurnal,Herbivore,Aquatic,Not colonial,3.374289988,7.206846059,8.844321,3
Crex egregia,GRUIFORMES,Rallidae,African Crake,5,0,1,0,0,LC,5,4,Diurnal,Omnivore,Aquatic,Not colonial,2.075546961,7.066747486,9.146184,2
Cuculus gularis,CUCULIFORMES,Cuculidae,African Cuckoo,3,0,1,0,0,LC,5,4,Diurnal,Carnivore,Open vegetation,Not colonial,2.012837225,7.093153886,6.057114,1
Aviceda cuculoides,ACCIPITRIFORMES,Accipitridae,African Cuckoo-hawk,5,0,1,0,0,LC,5,4,Diurnal,Carnivore,Artificial,Not colonial,2.442479769,7.023687875,11.691895,2
Anhinga rufa,SULIFORMES,Anhingidae,African Darter,5,0.05,1,0,0,LC,5,1,Diurnal,Carnivore,Aquatic,Colonial,3.09265665,7.238356101,25.495828,7
Ispidina lecontei,CORACIIFORMES,Alcedinidae,African Dwarf-kingfisher,5,0.033333333,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.977723605,6.341618098,9.885291,3
Chrysococcyx cupreus,CUCULIFORMES,Cuculidae,African Emerald Cuckoo,2,0.068181818,1,0,0,LC,5,4,Diurnal,Carnivore,Forest,Not colonial,1.576341359,7.055596269,12.312566,6
Podica senegalensis,GRUIFORMES,Heliornithidae,African Finfoot,4,0,1,0,0,LC,5,1,Diurnal,Omnivore,Aquatic,Not colonial,2.777426822,7.055311853,28.002239,14
Lagonosticta rubricata,PASSERIFORMES,Estrildidae,African Firefinch,7,0.026315789,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,1.008600164,6.754932387,5.297323,1
Haliaeetus vocifer,ACCIPITRIFORMES,Accipitridae,African Fish-eagle,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Aquatic,Not colonial,3.448126358,7.262121206,8.419427,17
Fraseria ocreata,PASSERIFORMES,Muscicapidae,African Forest-flycatcher,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.550228353,6.516180822,8.102347,1
Oriolus auratus,PASSERIFORMES,Oriolidae,African Golden Oriole,4,0.041666667,1,0,0,LC,5,4,Diurnal,Herbivore,Forest,Not colonial,1.820857969,7.002851084,7.2752,3
Ploceus subaureus,PASSERIFORMES,Ploceidae,African Golden Weaver,5,0.0375,1,0,0,LC,5,1,Diurnal,Herbivore,Aquatic,Colonial,1.487138375,5.674215104,2.908074,1
Accipiter tachiro,ACCIPITRIFORMES,Accipitridae,African Goshawk,7,0.025,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,2.464638559,6.71083154,9.836466,5
Tyto capensis,STRIGIFORMES,Tytonidae,African Grass-owl,4,0,1,0,0,LC,5,1,Nocturnal,Carnivore,Open vegetation,Not colonial,2.622214023,6.430034616,10.039611,1
Treron calvus,COLUMBIFORMES,Columbidae,African Green-pigeon,7,0,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,2.286587535,7.030746851,5.670085,5
Polyboroides typus,ACCIPITRIFORMES,Accipitridae,African Harrier-hawk,4,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,2.804480189,7.171903732,19.716661,5
Aquila spilogaster,ACCIPITRIFORMES,Accipitridae,African Hawk-eagle,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Artificial,Not colonial,3.168644777,7.093375905,4.936066,6
Sylvia abyssinica,PASSERIFORMES,Sylviidae,African Hill-babbler,3,0.027777778,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.274157832,5.585689869,8.955991,2
Falco cuvierii,FALCONIFORMES,Falconidae,African Hobby,6,0.017857143,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,2.26245109,6.871039964,4.050454,3
Chlamydotis undulata,OTIDIFORMES,Otididae,African Houbara,5,0,1,0,1,VU,3,3,Diurnal,Omnivore,Bare habitat,Not colonial,3.191730393,6.531822929,22.72517,6
Actophilornis africanus,CHARADRIIFORMES,Jacanidae,African Jacana,4,0.041666667,1,1,1,LC,5,3,Diurnal,Carnivore,Artificial,Not colonial,2.298853076,7.229107599,20.126094,9
Asio abyssinicus,STRIGIFORMES,Strigidae,African Long-eared Owl,5,0.019230769,1,0,1,LC,5,1,Nocturnal,Carnivore,Shrubland,Not colonial,2.562028946,5.187509034,7.88531,2
Circus ranivorus,ACCIPITRIFORMES,Accipitridae,African Marsh-harrier,5,0.025,1,0,0,LC,5,1,Diurnal,Carnivore,Aquatic,Not colonial,2.705007959,6.642818688,4.761313,2
Columba arquatrix,COLUMBIFORMES,Columbidae,African Olive-pigeon,5,0,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,2.602059991,6.160435842,7.930951,4
Anastomus lamelligerus,CICONIIFORMES,Ciconiidae,African Openbill,2,0.071428571,1,1,0,LC,5,4,Diurnal,Carnivore,Aquatic,Colonial,3.033825694,7.123488628,18.653422,6
Haematopus moquini,CHARADRIIFORMES,Haematopodidae,African Oystercatcher,2,0,1,0,0,NT,4,1,Diurnal,Carnivore,Aquatic,Not colonial,2.840106094,5.093574854,9.453603,3
Cypsiurus parvus,CAPRIMULGIFORMES,Apodidae,African Palm-swift,2,0,1,0,0,LC,5,1,Diurnal,Carnivore,Artificial,Colonial,1.133538908,7.200976991,17.014094,2
Terpsiphone viridis,PASSERIFORMES,Monarchidae,African Paradise-flycatcher,5,0,1,1,0,LC,5,4,Diurnal,Carnivore,Open vegetation,Not colonial,1.122215878,7.157351263,3.828874,9
Spheniscus demersus,SPHENISCIFORMES,Spheniscidae,African Penguin,3,0,1,0,0,EN,2,1,Diurnal,Carnivore,Aquatic,Colonial,3.496237545,4.588192745,8.424952,14
Verreauxia africana,PICIFORMES,Picidae,African Piculet,9,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.973127854,6.402703529,14.362619,4
Lamprotornis bicolor,PASSERIFORMES,Sturnidae,African Pied Starling,4,0.078947368,1,0,0,LC,5,1,Diurnal,Omnivore,Artificial,Not colonial,2.017033339,5.889247515,6.53913,1
Motacilla aguimp,PASSERIFORMES,Motacillidae,African Pied Wagtail,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Aquatic,Not colonial,1.431363764,7.051842811,7.264046,2
Pitta angolensis,PASSERIFORMES,Pittidae,African Pitta,7,0.0375,1,0,0,LC,5,4,Diurnal,Carnivore,Forest,Not colonial,1.92582759,6.597134858,9.191953,7
Riparia paludicola,PASSERIFORMES,Hirundinidae,African Plain Martin,3,0,0,0,0,LC,5,4,Diurnal,Carnivore,Aquatic,Colonial,1.130333768,6.849038707,10.128962,2
Polihierax semitorquatus,FALCONIFORMES,Falconidae,African Pygmy-falcon,4,0.022727273,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.788875116,6.491455727,14.212201,10
Nettapus auritus,ANSERIFORMES,Anatidae,African Pygmy-goose,5,0.055555556,1,0,0,LC,5,1,Diurnal,Herbivore,Aquatic,Not colonial,2.424881637,7.239355169,7.987101,11
Ispidina picta,CORACIIFORMES,Alcedinidae,African Pygmy-kingfisher,5,0.03125,1,0,0,LC,5,4,Diurnal,Carnivore,Forest,Not colonial,1.10720997,7.142014262,9.893274,4
Ortygospiza atricollis,PASSERIFORMES,Estrildidae,African Quailfinch,5,0.025,1,0,0,LC,5,3,Diurnal,Herbivore,Open vegetation,Not colonial,1.025305865,6.507281593,4.91735,2
Rallus caerulescens,GRUIFORMES,Rallidae,African Rail,4,0,1,0,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,2.212187604,6.751444648,7.436606,2
Pseudochelidon eurystomina,PASSERIFORMES,Hirundinidae,African River Martin,3,0.076923077,0,0,0,NT,4,4,Diurnal,Carnivore,Aquatic,Colonial,1.210697248,5.746106409,14.177899,3
Threskiornis aethiopicus,PELECANIFORMES,Threskiornithidae,African Sacred Ibis,3,0,1,0,0,LC,5,4,Diurnal,Carnivore,Forest,Colonial,3.175511813,7.24485516,15.095738,6
Otus senegalensis,STRIGIFORMES,Strigidae,African Scops-owl,5,0,1,0,1,LC,5,1,Nocturnal,Carnivore,Forest,Not colonial,1.826074803,7.129054942,5.305115,5
Megabyas flammulatus,PASSERIFORMES,Vangidae,African Shrike-flycatcher,2,0.071428571,0,0,0,LC,5,4,Diurnal,Carnivore,Forest,Not colonial,1.447545621,6.610695504,21.657299,1
Euodice cantans,PASSERIFORMES,Estrildidae,African Silverbill,4,0,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Colonial,1.079181246,6.543069557,3.142529,2
Rynchops flavirostris,CHARADRIIFORMES,Laridae,African Skimmer,2,0,1,0,0,NT,4,4,Diurnal,Carnivore,Aquatic,Colonial,2.214843848,6.986747487,8.065863,12
Gallinago nigripennis,CHARADRIIFORMES,Scolopacidae,African Snipe,5,0,1,1,0,LC,5,2,Diurnal,Carnivore,Aquatic,Not colonial,2.049218023,6.747110401,7.151105,3
Platalea alba,PELECANIFORMES,Threskiornithidae,African Spoonbill,2,0,1,1,1,LC,5,3,Diurnal,Omnivore,Aquatic,Colonial,3.182129214,7.147168566,18.100766,7
Apus barbatus,CAPRIMULGIFORMES,Apodidae,African Swift,3,0,1,0,0,LC,5,4,Diurnal,Carnivore,Forest,Colonial,1.631443761,6.074202131,6.917837,3
Charadrius tricollaris,CHARADRIIFORMES,Charadriidae,African Three-banded Plover,5,0,1,0,0,LC,5,1,Diurnal,Carnivore,Aquatic,Not colonial,1.494154594,6.9738235,13.143549,3
Turdus pelios,PASSERIFORMES,Turdidae,African Thrush,3,0.03125,1,0,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,1.815577748,6.92282845,7.348712,1
Strix woodfordii,STRIGIFORMES,Strigidae,African Wood-owl,3,0,1,0,0,LC,5,1,Nocturnal,Carnivore,Forest,Not colonial,2.544068044,6.992331573,10.294319,3
Iduna natalensis,PASSERIFORMES,Acrocephalidae,African Yellow Warbler,4,0.033333333,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.068185862,6.572180288,6.347985,1
Zosterops senegalensis,PASSERIFORMES,Zosteropidae,African Yellow White-eye,4,0.033333333,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,1.037426483,6.920584834,1.289217,3
Pternistis ahantensis,GALLIFORMES,Phasianidae,Ahanta Francolin,3,0.035714286,1,0,0,LC,5,1,Diurnal,Herbivore,Aquatic,Not colonial,2.738384124,5.834437926,3.833071,1
Bubo leucostictus,STRIGIFORMES,Strigidae,Akun Eagle-owl,3,0.035714286,1,0,1,LC,5,1,Nocturnal,Carnivore,Forest,Not colonial,2.726727209,6.409424175,7.147798,3
Glaucidium albertinum,STRIGIFORMES,Strigidae,Albertine Owlet,3,0.027777778,1,0,0,VU,3,1,Nocturnal,Carnivore,Forest,Not colonial,1.86332286,4.510435342,7.807857,2
Apus alexandri,CAPRIMULGIFORMES,Apodidae,Alexander's Swift,2,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Colonial,1.499878717,3.358454995,6.980251,1
Sitta ledanti,PASSERIFORMES,Sittidae,Algerian Nuthatch,6,0,1,0,0,EN,2,1,Diurnal,Omnivore,Forest,Not colonial,1.235528466,2.391986348,5.231468,1
Porphyrio alleni,GRUIFORMES,Rallidae,Allen's Gallinule,7,0.013888889,1,0,1,LC,5,4,Diurnal,Herbivore,Aquatic,Not colonial,2.144574208,7.204391629,11.83204,5
Prunella collaris,PASSERIFORMES,Prunellidae,Alpine Accentor,6,0.014705882,1,0,0,LC,5,4,Diurnal,Carnivore,Bare habitat,Not colonial,1.487138386,5.098489326,4.905551,1
Tachymarptis melba,CAPRIMULGIFORMES,Apodidae,Alpine Swift,3,0,1,0,0,LC,5,4,Diurnal,Carnivore,Artificial,Colonial,1.457337934,6.885556914,11.009869,4
Hedydipna pallidigaster,PASSERIFORMES,Nectariniidae,Amani Sunbird,7,0.053571429,1,0,0,EN,2,1,Diurnal,Carnivore,Forest,Not colonial,0.832508925,2.936621504,7.676156,3
Chalcomitra amethystina,PASSERIFORMES,Nectariniidae,Amethyst Sunbird,6,0.076923077,1,1,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,1.136720567,6.55233418,6.113026,4
Estrilda poliopareia,PASSERIFORMES,Estrildidae,Anambra Waxbill,5,0.019230769,1,0,0,VU,3,1,Diurnal,Herbivore,Open vegetation,Not colonial,1.083437365,4.642844866,3.207704,1
Stactolaema anchietae,PICIFORMES,Lybiidae,Anchieta's Barbet,4,0,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,1.674861134,6.170948092,8.000147,5
Anthreptes anchietae,PASSERIFORMES,Nectariniidae,Anchieta's Sunbird,5,0.039473684,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,0.903089987,5.667756601,7.64771,6
Batis minulla,PASSERIFORMES,Platysteiridae,Angola Batis,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.995635178,5.676361741,6.245073,1
Xenocopsychus ansorgei,PASSERIFORMES,Muscicapidae,Angola Cave-chat,2,0,1,0,0,LC,5,1,Diurnal,Carnivore,Other habitat,Not colonial,1.550228353,4.574489975,6.133665,1
Mirafra angolensis,PASSERIFORMES,Alaudidae,Angola Lark,6,0.019230769,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.559906625,5.882967952,6.216249,2
Hirundo angolensis,PASSERIFORMES,Hirundinidae,Angola Swallow,4,0.05,1,0,0,LC,5,4,Diurnal,Carnivore,Artificial,Not colonial,1.250420002,6.221877781,3.095494,2
Eurillas ansorgei,PASSERIFORMES,Pycnonotidae,Ansorge's Greenbul,4,0,0,0,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,1.271841624,6.26305033,8.84849,1
Sterna vittata,CHARADRIIFORMES,Laridae,Antarctic Tern,3,0,1,0,0,LC,5,4,Diurnal,Carnivore,Aquatic,Colonial,2.1430148,3.412736562,2.658023,1
Acrocephalus paludicola,PASSERIFORMES,Acrocephalidae,Aquatic Warbler,6,0,1,0,0,VU,3,4,Diurnal,Carnivore,Aquatic,Not colonial,1.064457989,6.409860497,6.821142,2
Ardeotis arabs,OTIDIFORMES,Otididae,Arabian Bustard,4,0,1,0,0,NT,4,1,Diurnal,Omnivore,Shrubland,Not colonial,3.790636962,6.449646917,11.261165,7
Passer euchlorus,PASSERIFORMES,Passeridae,Arabian Golden Sparrow,4,0.025,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Colonial,1.146128036,4.555262629,5.40051,2
Sylvia leucomelaena,PASSERIFORMES,Sylviidae,Arabian Warbler,4,0,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.1430148,5.217055187,5.276958,2
Dessonornis archeri,PASSERIFORMES,Muscicapidae,Archer's Robin-chat,5,0.044117647,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.361727836,4.77889722,7.983385,3
Stercorarius parasiticus,CHARADRIIFORMES,Stercorariidae,Arctic Jaeger,2,0,0,0,0,LC,5,4,Diurnal,Carnivore,Open vegetation,Colonial,2.648847708,4.515549216,7.341662,1
Myrmecocichla arnotti,PASSERIFORMES,Muscicapidae,Arnot's Chat,2,0.071428571,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.597695169,6.491736152,5.155643,5
Turdoides jardineii,PASSERIFORMES,Leiotrichidae,Arrow-marked Babbler,5,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.893206753,6.76387045,2.702186,2
Cisticola cinereolus,PASSERIFORMES,Cisticolidae,Ashy Cisticola,6,0,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.23299611,5.788763836,4.182777,1
Melaniparus cinerascens,PASSERIFORMES,Paridae,Ashy Tit,6,0,1,0,0,LC,5,3,Diurnal,Carnivore,Shrubland,Not colonial,1.301029996,6.254074762,7.310986,1
Thalassarche chlororhynchos,PROCELLARIIFORMES,Diomedeidae,Atlantic Yellow-nosed Albatross,3,0,1,0,0,EN,2,4,Diurnal,Omnivore,Aquatic,Colonial,3.328379603,4.465327836,5.730249,2
Larus audouinii,CHARADRIIFORMES,Laridae,Audouin's Gull,3,0.035714286,0,0,0,LC,5,4,Diurnal,Carnivore,Aquatic,Colonial,2.728353782,4.652165058,2.054159,4
Puffinus lherminieri,PROCELLARIIFORMES,Procellariidae,Audubon's Shearwater,4,0.03125,0,0,0,LC,5,4,Nocturnal,Carnivore,Aquatic,Colonial,2.28780173,4.49584512,6.384757,4
Buteo augur,ACCIPITRIFORMES,Accipitridae,Augur Buzzard,4,0,1,0,0,LC,5,1,Diurnal,Carnivore,Bare habitat,Not colonial,3.045322979,6.592679542,2.026933,8
Hieraaetus ayresii,ACCIPITRIFORMES,Accipitridae,Ayres's Hawk-eagle,2,0,1,0,0,LC,5,4,Diurnal,Carnivore,Forest,Not colonial,2.909556029,6.874603184,7.31045,3
Neocichla gutturalis,PASSERIFORMES,Sturnidae,Babbling Starling,6,0.014705882,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.824125814,5.465999698,12.716912,4
Ploceus baglafecht,PASSERIFORMES,Ploceidae,Baglafecht Weaver,3,0.035714286,1,0,0,LC,5,1,Diurnal,Carnivore,Artificial,Not colonial,1.499687083,6.217754147,2.910065,3
Zapornia pusilla,GRUIFORMES,Rallidae,Baillon's Crake,5,0.017857143,1,0,0,LC,5,4,Diurnal,Carnivore,Aquatic,Not colonial,1.549003281,6.829693582,9.635172,2
Puffinus mauretanicus,PROCELLARIIFORMES,Procellariidae,Balearic Shearwater,4,0.03125,0,0,0,CR,1,4,Nocturnal,Carnivore,Aquatic,Colonial,2.714748761,4.363770876,6.976273,1
Bradypterus alfredi,PASSERIFORMES,Locustellidae,Bamboo Warbler,5,0.017857143,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.243038049,4.96119968,5.002628,2
Apalis bamendae,PASSERIFORMES,Cisticolidae,Bamenda Apalis,5,0,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.999656506,3.811638799,4.966128,1
Lybius undatus,PICIFORMES,Lybiidae,Banded Barbet,6,0.019230769,1,0,0,LC,5,1,Diurnal,Omnivore,Shrubland,Not colonial,1.58546073,5.76332803,5.249223,3
Neophedina cincta,PASSERIFORMES,Hirundinidae,Banded Martin,2,0,1,0,0,LC,5,4,Diurnal,Carnivore,Open vegetation,Not colonial,1.370142847,6.901840835,12.611707,1
Prinia bairdii,PASSERIFORMES,Cisticolidae,Banded Prinia,4,0,1,1,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.127104798,6.045436859,6.192851,1
Anthreptes rubritorques,PASSERIFORMES,Nectariniidae,Banded Sunbird,5,0.05,1,0,0,VU,3,1,Diurnal,Herbivore,Open vegetation,Not colonial,1.029383778,3.826303008,7.693739,1
Sylvia boehmi,PASSERIFORMES,Sylviidae,Banded Warbler,5,0.03125,1,0,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,1.259610044,5.878274377,7.173413,1
Platysteira laticincta,PASSERIFORMES,Platysteiridae,Banded Wattle-eye,4,0,1,0,1,EN,2,1,Diurnal,Carnivore,Forest,Not colonial,1.155336037,3.269184605,8.503818,2
Hydrobates castro,PROCELLARIIFORMES,Hydrobatidae,Band-rumped Storm-petrel,3,0,0,0,0,LC,5,4,Nocturnal,Carnivore,Aquatic,Colonial,1.664641976,4.515457062,33.611422,1
Phalacrocorax neglectus,SULIFORMES,Phalacrocoracidae,Bank Cormorant,2,0.083333333,0,0,0,EN,2,1,Diurnal,Carnivore,Aquatic,Colonial,3.290145955,4.257299238,7.140403,2
Cyanomitra bannermani,PASSERIFORMES,Nectariniidae,Bannerman's Sunbird,6,0.065217391,1,1,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,1.146128036,5.657452469,5.733768,1
Tauraco bannermani,MUSOPHAGIFORMES,Musophagidae,Bannerman's Turaco,5,0.047619048,1,1,1,EN,2,1,Diurnal,Herbivore,Forest,Not colonial,2.350248018,3.29635795,21.496795,1
Ploceus bannermani,PASSERIFORMES,Ploceidae,Bannerman's Weaver,4,0.017857143,1,0,0,VU,3,1,Diurnal,Omnivore,Shrubland,Not colonial,1.488550717,4.035736514,2.935087,1
Alectoris barbara,GALLIFORMES,Phasianidae,Barbary Partridge,7,0.013157895,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,2.621695462,6.129511245,7.454667,5
Lagonosticta rufopicta,PASSERIFORMES,Estrildidae,Bar-breasted Firefinch,4,0.019230769,1,0,0,LC,5,1,Diurnal,Herbivore,Shrubland,Not colonial,0.968482949,6.51944611,4.004168,3
Turdoides gymnogenys,PASSERIFORMES,Leiotrichidae,Bare-cheeked Babbler,3,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.886490725,5.613308061,2.659594,5
Apaloderma aequatoriale,TROGONIFORMES,Trogonidae,Bare-cheeked Trogon,7,0.038461538,1,1,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.860947533,5.803550181,12.559964,4
Turdus tephronotus,PASSERIFORMES,Turdidae,Bare-eyed Thrush,5,0.026315789,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.693726962,5.997052557,8.321739,1
Hirundo rustica,PASSERIFORMES,Hirundinidae,Barn Swallow,5,0.065789474,1,0,0,LC,5,4,Diurnal,Carnivore,Aquatic,Not colonial,1.308738198,7.171468876,3.334829,3
Bradypterus barratti,PASSERIFORMES,Locustellidae,Barratt's Warbler,5,0.019230769,1,0,0,LC,5,2,Diurnal,Carnivore,Forest,Not colonial,1.274157849,5.347086881,4.559074,1
Cercococcyx montanus,CUCULIFORMES,Cuculidae,Barred Long-tailed Cuckoo,5,0,1,0,0,LC,5,2,Diurnal,Carnivore,Forest,Not colonial,1.76492299,5.864135665,10.965582,4
Calamonastes fasciolatus,PASSERIFORMES,Cisticolidae,Barred Wren-warbler,7,0.014705882,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.117271296,6.153121193,6.545251,2
Limosa lapponica,CHARADRIIFORMES,Scolopacidae,Bar-tailed Godwit,5,0.038461538,1,1,0,NT,4,4,Diurnal,Carnivore,Aquatic,Not colonial,2.46612587,6.323758515,18.515614,5
Ammomanes cinctura,PASSERIFORMES,Alaudidae,Bar-tailed Lark,6,0,1,0,0,LC,5,1,Diurnal,Herbivore,Bare habitat,Not colonial,1.273001272,6.680221388,12.206888,5
Apaloderma vittatum,TROGONIFORMES,Trogonidae,Bar-tailed Trogon,6,0.041666667,1,0,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,1.740362689,5.684811359,15.469944,5
Apalis thoracica,PASSERIFORMES,Cisticolidae,Bar-throated Apalis,6,0.035714286,1,0,0,LC,5,2,Diurnal,Carnivore,Forest,Not colonial,1.082785384,6.085103831,7.179521,2
Ploceus angolensis,PASSERIFORMES,Ploceidae,Bar-winged Weaver,3,0.035714286,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.343558812,5.416545928,2.873994,1
Acrocephalus griseldis,PASSERIFORMES,Acrocephalidae,Basra Reed-warbler,7,0,1,0,0,EN,2,4,Diurnal,Carnivore,Shrubland,Not colonial,1.222716471,5.679998035,7.309905,1
Macheiramphus alcinus,ACCIPITRIFORMES,Accipitridae,Bat Hawk,3,0,1,0,0,LC,5,1,Nocturnal,Carnivore,Forest,Not colonial,2.812913357,7.040285223,30.702981,4
Terathopius ecaudatus,ACCIPITRIFORMES,Accipitridae,Bateleur,5,0.025,1,0,0,NT,4,1,Diurnal,Carnivore,Shrubland,Not colonial,3.342422681,7.143897768,20.95071,13
