Order,Family,Scientific,Common,log.Range,bccstatus,bcc,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,status,Extinction.risk,migratory type,migration,tp,tl,ED_score,habitat_1,colonial,log.mass,Sources
GALLIFORMES,Phasianidae,Tetrao urogallus,Capercaillie,2.303196057,Red,1,6,0.046875,1,0,1,LC,5,Not a Migrant,1,Diurnal,Herbivore,4.347757,Forest,Not colonial,3.469822016,6
CHARADRIIFORMES,Laridae,Thalasseus sandvicensis,Sandwich Tern,2.480006943,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,2.730473,Aquatic,Colonial,2.283301229,7
CHARADRIIFORMES,Scolopacidae,Tringa erythropus,Spotted Redshank,2.387389826,Amber,2,2,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,13.444398,Artificial,Not colonial,2.198657087,7
CHARADRIIFORMES,Scolopacidae,Tringa glareola,Wood Sandpiper,0.77815125,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,11.21589,Artificial,Not colonial,1.795532443,6
CHARADRIIFORMES,Scolopacidae,Tringa nebularia,Greenshank,2.883093359,Amber,2,4,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,11.970126,Open vegetation,Not colonial,2.271841607,7
CHARADRIIFORMES,Scolopacidae,Tringa ochropus,Green Sandpiper,3.001300933,Amber,2,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,18.903695,Forest,Not colonial,1.853698212,7
CHARADRIIFORMES,Scolopacidae,Tringa totanus,Redshank,3.349665984,Amber,2,3,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,11.131516,Aquatic,Colonial,2.11058971,7
PASSERIFORMES,Troglodytidae,Troglodytes troglodytes,Wren,3.448860846,Green,3,7,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,9.67374,Forest,Not colonial,0.949389988,6
PASSERIFORMES,Turdidae,Turdus iliacus,Redwing,3.42975228,Red,1,5,0.015625,1,0,0,NT,4,Full Migrant,4,Diurnal,Omnivore,7.427583,Forest,Not colonial,1.786751428,6
PASSERIFORMES,Turdidae,Turdus merula,Blackbird,3.445448514,Green,3,2,0.0625,0,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,8.135683,Forest,Not colonial,2.051244169,6
PASSERIFORMES,Turdidae,Turdus philomelos,Song Thrush,3.441852176,Red,1,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,12.200248,Forest,Not colonial,1.8309093,5
PASSERIFORMES,Turdidae,Turdus pilaris,Fieldfare,3.429429264,Red,1,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.758646,Forest,Not colonial,2.025305865,6
PASSERIFORMES,Turdidae,Turdus torquatus,Ring Ouzel,2.989004616,Red,1,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,4.487099,Forest,Not colonial,2.037426498,6
PASSERIFORMES,Turdidae,Turdus viscivorus,Mistle Thrush,3.418301291,Red,1,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,12.509301,Forest,Not colonial,2.070037867,3
STRIGIFORMES,Tytonidae,Tyto alba,Barn Owl,3.370883017,Green,3,3,0,1,0,0,LC,5,Not a Migrant,1,Nocturnal,Carnivore,14.241874,Aquatic,Not colonial,2.550228353,6
CHARADRIIFORMES,Alcidae,Uria aalge,Common Guillemot,2.922206277,Amber,2,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,8.312862,Aquatic,Colonial,2.996073654,7
CHARADRIIFORMES,Charadriidae,Vanellus vanellus,Lapwing,3.436003536,Red,1,6,0.09375,1,0,1,NT,4,Full Migrant,4,Diurnal,Carnivore,10.128117,Artificial,Not colonial,2.339451441,7
