Order,Family,Scientific,Common,log.Range,bccstatus,bcc,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,status,Extinction.risk,migratory type,migration,tp,tl,ED_score,habitat_1,colonial,log.mass,Sources
CUCULIFORMES,Cuculidae,Cuculus canorus,Cuckoo,3.428134794,Red,1,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.225239,Forest,Not colonial,2.047274867,6
ANSERIFORMES,Anatidae,Cygnus columbianus,Bewick's Swan,2.779596491,Amber,2,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,5.00812,Aquatic,Not colonial,3.806179974,6
ANSERIFORMES,Anatidae,Cygnus cygnus,Whooper Swan,3.172310969,Amber,2,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,4.992173,Aquatic,Not colonial,3.970811611,6
ANSERIFORMES,Anatidae,Cygnus olor,Mute Swan,3.334453751,Amber,2,2,0,1,0,1,LC,5,Full Migrant,4,Diurnal,Herbivore,7.445391,Aquatic,Not colonial,4.030802049,6
PASSERIFORMES,Hirundinidae,Delichon urbicum,House Martin,3.41313205,Amber,2,4,0.0625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,9.524444,Bare,Colonial,1.161368002,6
PICIFORMES,Picidae,Dendrocopos major,Great Spotted Woodpecker,3.385427515,Green,3,6,0.03125,1,0,0,LC,5,Not a Migrant,1,Diurnal,Omnivore,3.139634,Forest,Not colonial,1.911690159,7
PICIFORMES,Picidae,Dryobates minor,Lesser Spotted Woodpecker,3.096562438,Red,1,3,0.015625,1,0,0,LC,5,Not a Migrant,1,Diurnal,Carnivore,4.95211,Forest,Not colonial,1.29666519,7
PELECANIFORMES,Ardeidae,Egretta garzetta,Little Egret,3.063708559,Green,3,1,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,7.901933,Aquatic,Colonial,2.494154594,7
PASSERIFORMES,Emberizidae,Emberiza calandra,Corn Bunting,3.179551791,Red,1,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,8.844894,Open vegetation,Not colonial,1.68797462,6
PASSERIFORMES,Emberizidae,Emberiza cirlus,Cirl Bunting,2.278753601,Red,1,5,0,1,0,0,LC,5,Not a Migrant,1,Diurnal,Herbivore,6.227629,Shrubland,Not colonial,1.408239972,5
PASSERIFORMES,Emberizidae,Emberiza citrinella,Yellowhammer,3.396199347,Red,1,5,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,3.445275,Forest,Not colonial,1.47275646,6
PASSERIFORMES,Emberizidae,Emberiza schoeniclus,Reed Bunting,3.426023016,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,5.344573,Aquatic,Not colonial,1.26599637,7
PASSERIFORMES,Alaudidae,Eremophila alpestris,Shore Lark,1.949390007,Amber,2,7,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,7.246331,Open vegetation,Not colonial,1.495363322,6
PASSERIFORMES,Muscicapidae,Erithacus rubecula,Robin,3.442479769,Green,3,4,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,13.899963,Forest,Not colonial,1.247973285,7
CHARADRIIFORMES,Charadriidae,Eudromias morinellus,Dotterel,2.096910013,Red,1,5,0.015625,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,27.379057,Open vegetation,Not colonial,2.035429738,7
FALCONIFORMES,Falconidae,Falco columbarius,Merlin,3.360214613,Red,1,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,11.301538,Open vegetation,Not colonial,2.27989498,6
FALCONIFORMES,Falconidae,Falco peregrinus,Peregrine,3.411114419,Green,3,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,3.932677,Bare,Not colonial,2.871030563,8
FALCONIFORMES,Falconidae,Falco subbuteo,Hobby,3.055760465,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.072536,Open vegetation,Not colonial,2.321184027,8
FALCONIFORMES,Falconidae,Falco tinnunculus,Kestrel,3.437274797,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.393255,Artificial,Not colonial,2.264817823,7
PASSERIFORMES,Muscicapidae,Ficedula hypoleuca,Pied Flycatcher,2.974050903,Red,1,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.406315,Forest,Not colonial,1.1430148,8
CHARADRIIFORMES,Alcidae,Fratercula arctica,Puffin,2.556302501,Red,1,2,0,1,0,0,VU,3,Full Migrant,4,Diurnal,Carnivore,6.243924,Aquatic,Colonial,2.814247596,7
PASSERIFORMES,Fringillidae,Fringilla coelebs,Chaffinch,3.437116093,Green,3,7,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,11.663598,Forest,Not colonial,1.379607636,6
PASSERIFORMES,Fringillidae,Fringilla montifringilla,Brambling,3.347915187,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,12.999199,Shrubland,Not colonial,1.354108446,6
GRUIFORMES,Rallidae,Fulica atra,Coot,3.317645543,Green,3,2,0,1,0,1,LC,5,Full Migrant,4,Diurnal,Herbivore,6.341703,Artificial,Not colonial,2.725094521,6
PROCELLARIIFORMES,Procellariidae,Fulmarus glacialis,Fulmar,2.8876173,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,12.550201,Aquatic,Colonial,2.787460475,7
CHARADRIIFORMES,Scolopacidae,Gallinago gallinago,Snipe,3.441538039,Amber,2,4,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,8.557956,Aquatic,Not colonial,2.021189299,7
GRUIFORMES,Rallidae,Gallinula chloropus,Moorhen,3.378761175,Green,3,3,0,1,0,1,LC,5,Full Migrant,4,Diurnal,Omnivore,7.190584,Aquatic,Not colonial,2.535926741,6
PASSERIFORMES,Corvidae,Garrulus glandarius,Jay,3.338456494,Green,3,6,0.015625,1,0,0,LC,5,Not a Migrant,1,Diurnal,Omnivore,9.821919,Forest,Not colonial,2.203440867,4
GAVIIFORMES,Gaviidae,Gavia arctica,Black-throated Diver,2.889861721,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,29.647734,Aquatic,Not colonial,3.488480208,7
GAVIIFORMES,Gaviidae,Gavia immer,Great Northern Diver,2.933487288,Amber,2,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,20.942715,Aquatic,Not colonial,3.697229343,6
GAVIIFORMES,Gaviidae,Gavia stellata,Red-throated Diver,3.026941628,Green,3,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,49.484481,Aquatic,Colonial,3.172018809,7
GRUIFORMES,Gruidae,Grus grus,Crane,1.924279286,Amber,2,4,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Herbivore,5.925404,Aquatic,Not colonial,3.740362689,3
CHARADRIIFORMES,Haematopodidae,Haematopus ostralegus,Oystercatcher,3.348110068,Amber,2,3,0,1,0,0,NT,4,Full Migrant,4,Diurnal,Carnivore,7.090832,Aquatic,Not colonial,2.720985744,7
ACCIPITRIFORMES,Accipitridae,Haliaeetus albicilla,White-tailed Eagle,2.475671188,Red,1,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,7.196711,Aquatic,Not colonial,3.680607429,7
PASSERIFORMES,Hirundinidae,Hirundo rustica,Swallow,3.435047641,Green,3,5,0.078125,1,0,1,LC,5,Full Migrant,4,Diurnal,Carnivore,3.334829,Aquatic,Not colonial,1.308738198,7
PROCELLARIIFORMES,Hydrobatidae,Hydrobates leucorhous,Leach's Petrel,2.079181246,Amber,2,3,0,0,0,0,VU,3,Full Migrant,4,Nocturnal,Omnivore,20.874794,Aquatic,Colonial,1.568899575,5
PROCELLARIIFORMES,Hydrobatidae,Hydrobates pelagicus,Storm Petrel,2.161368002,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Nocturnal,Omnivore,24.209712,Aquatic,Colonial,1.401400541,7
CHARADRIIFORMES,Laridae,Hydrocoloeus minutus,Little Gull,2.605305046,Green,3,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.243071,Aquatic,Colonial,2.071882007,6
GALLIFORMES,Phasianidae,Lagopus lagopus,Red Grouse,3.088136089,Amber,2,6,0,1,0,1,LC,5,Not a Migrant,1,Diurnal,Herbivore,5.422209,Open vegetation,Not colonial,2.756382506,7
GALLIFORMES,Phasianidae,Lagopus muta,Ptarmigan,2.365487985,Green,3,4,0,1,1,1,LC,5,Altitudinal Migrant,2,Diurnal,Herbivore,5.422209,Open vegetation,Not colonial,2.728759475,8
PASSERIFORMES,Laniidae,Lanius collurio,Red-backed Shrike,2.086359831,Red,1,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.225941,Open vegetation,Not colonial,1.454082271,5
CHARADRIIFORMES,Laridae,Larus argentatus,Herring Gull,3.420945406,Red,1,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.204762,Aquatic,Colonial,3.039017322,7
CHARADRIIFORMES,Laridae,Larus cachinnans,Caspian Gull,2.227886705,Amber,2,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.105114,Aquatic,Colonial,3.048150363,1
CHARADRIIFORMES,Laridae,Larus canus,Common Gull,3.429267666,Amber,2,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,2.021694,Aquatic,Colonial,2.617838748,6
CHARADRIIFORMES,Laridae,Larus fuscus,Lesser Black-backed Gull,3.40688067,Amber,2,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.265196,Aquatic,Colonial,2.884370488,7
CHARADRIIFORMES,Laridae,Larus glaucoides,Iceland Gull,2.773786445,Amber,2,2,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.054547,Aquatic,Colonial,2.851258349,4
CHARADRIIFORMES,Laridae,Larus hyperboreus,Glaucous Gull,2.802089258,Amber,2,2,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.204762,Aquatic,Colonial,3.18871761,5
CHARADRIIFORMES,Laridae,Larus marinus,Great Black-backed Gull,3.375297738,Amber,2,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,1.208094,Aquatic,Colonial,3.219715476,6
CHARADRIIFORMES,Laridae,Larus melanocephalus,Mediterranean Gull,2.856124444,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,2.038542,Aquatic,Colonial,2.408239965,7
CHARADRIIFORMES,Laridae,Larus michahellis,Yellow-legged Gull,2.618048097,Amber,2,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.161318,Aquatic,Colonial,3.048150363,5
CHARADRIIFORMES,Laridae,Larus ridibundus,Black-headed Gull,3.427810573,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,1.820333,Aquatic,Colonial,2.45331834,7
CHARADRIIFORMES,Scolopacidae,Limosa lapponica,Bar-tailed Godwit,2.762678564,Amber,2,5,0.015625,1,1,0,NT,4,Full Migrant,4,Diurnal,Carnivore,18.515614,Aquatic,Not colonial,2.46612587,6
CHARADRIIFORMES,Scolopacidae,Limosa limosa,Black-tailed Godwit,2.698100546,Red,1,5,0.015625,1,1,0,NT,4,Full Migrant,4,Diurnal,Carnivore,17.54948,Aquatic,Colonial,2.463892989,7
PASSERIFORMES,Fringillidae,Linaria cannabina,Linnet,3.407050815,Red,1,5,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,4.861014,Shrubland,Colonial,1.291146762,6
PASSERIFORMES,Fringillidae,Linaria flavirostris,Twite,3.117933835,Red,1,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,4.825187,Bare,Colonial,1.187520721,6
PASSERIFORMES,Locustellidae,Locustella luscinioides,Savi's Warbler,1.662757832,Red,1,5,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,7.323445,Aquatic,Not colonial,1.1430148,5
PASSERIFORMES,Locustellidae,Locustella naevia,Grasshopper Warbler,3.36604921,Red,1,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.538941,Aquatic,Not colonial,1.123851641,7
PASSERIFORMES,Paridae,Lophophanes cristatus,Crested Tit,1.963787827,Green,3,7,0,1,0,0,LC,5,Nomadic,3,Diurnal,Carnivore,9.636585,Forest,Not colonial,1.043362278,8
PASSERIFORMES,Fringillidae,Loxia curvirostra,Crossbill,2.92890769,Green,3,7,0,1,0,1,LC,5,Not a Migrant,1,Diurnal,Herbivore,2.156287,Forest,Colonial,1.570916392,8
PASSERIFORMES,Fringillidae,Loxia pytyopsittacus,Parrot Crossbill,1.255272505,Amber,2,7,0.015625,1,0,1,LC,5,Not a Migrant,1,Diurnal,Herbivore,2.116491,Forest,Colonial,1.72427587,1
PASSERIFORMES,Fringillidae,Loxia scotica,Scottish Crossbill,2.008600172,Amber,2,7,0.015625,1,0,1,LC,5,Not a Migrant,1,Diurnal,Herbivore,2.159634,Forest,Colonial,1.635483747,7
PASSERIFORMES,Alaudidae,Lullula arborea,Woodlark,2.608526034,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,10.318054,Artificial,Not colonial,1.429752274,8
PASSERIFORMES,Muscicapidae,Luscinia megarhynchos,Nightingale,2.859738566,Red,1,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,8.226501,Shrubland,Not colonial,1.29299404,8
CHARADRIIFORMES,Scolopacidae,Lymnocryptes minimus,Jack Snipe,3.126780577,Green,3,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,30.226382,Aquatic,Not colonial,1.700703717,5
GALLIFORMES,Phasianidae,Lyrurus tetrix,Black Grouse,2.880813592,Red,1,5,0.046875,1,0,0,LC,5,Not a Migrant,1,Diurnal,Herbivore,4.160267,Forest,Not colonial,3.034427905,7
ANSERIFORMES,Anatidae,Mareca penelope,Wigeon,3.3232521,Amber,2,7,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,2.577578,Aquatic,Not colonial,2.88733593,6
ANSERIFORMES,Anatidae,Mareca strepera,Gadwall,3.110926242,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,2.499413,Aquatic,Not colonial,2.962369336,7
ANSERIFORMES,Anatidae,Melanitta fusca,Velvet Scoter,2.522444234,Red,1,2,0,1,0,1,VU,3,Full Migrant,4,Diurnal,Carnivore,5.019956,Aquatic,Colonial,3.244771761,6
ANSERIFORMES,Anatidae,Melanitta nigra,Common Scoter,2.848804701,Red,1,1,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.661431,Aquatic,Not colonial,3.02201574,6
ANSERIFORMES,Anatidae,Mergellus albellus,Smew,2.691081492,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.983133,Forest,Colonial,2.785329835,6
ANSERIFORMES,Anatidae,Mergus merganser,Goosander,3.322219295,Green,3,4,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,2.914466,Aquatic,Colonial,3.167465029,7
ANSERIFORMES,Anatidae,Mergus serrator,Red-breasted Merganser,3.155032229,Green,3,7,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,3.033222,Aquatic,Colonial,3.009238371,6
ACCIPITRIFORMES,Accipitridae,Milvus milvus,Red Kite,3.056142262,Green,3,7,0,1,0,0,NT,4,Full Migrant,4,Diurnal,Carnivore,8.634745,Shrubland,Not colonial,3.033423755,6
SULIFORMES,Sulidae,Morus bassanus,Gannet,2.796574333,Amber,2,3,0,1,0,1,LC,5,Full Migrant,4,Diurnal,Carnivore,13.334484,Aquatic,Colonial,3.477048866,7
PASSERIFORMES,Motacillidae,Motacilla alba,Pied Wagtail,3.44357588,Green,3,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.295747,Aquatic,Not colonial,1.395027624,5
PASSERIFORMES,Motacillidae,Motacilla cinerea,Grey Wagtail,3.411619706,Red,1,4,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.513906,Aquatic,Not colonial,1.212187584,7
PASSERIFORMES,Motacillidae,Motacilla flava,Yellow Wagtail,3.128399269,Red,1,8,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.702653,Aquatic,Not colonial,1.245580917,7
PASSERIFORMES,Muscicapidae,Muscicapa striata,Spotted Flycatcher,3.406369835,Red,1,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.40819,Artificial,Not colonial,1.201397124,6
CHARADRIIFORMES,Scolopacidae,Numenius arquata,Curlew,3.409933123,Red,1,3,0,1,1,0,NT,4,Full Migrant,4,Diurnal,Omnivore,7.820327,Aquatic,Colonial,2.906065545,8
CHARADRIIFORMES,Scolopacidae,Numenius phaeopus,Whimbrel,2.365487985,Red,1,3,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,12.68767,Forest,Not colonial,2.563184335,7
PASSERIFORMES,Muscicapidae,Oenanthe oenanthe,Wheatear,3.337459261,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,5.439574,Bare,Not colonial,1.485721432,7
PASSERIFORMES,Oriolidae,Oriolus oriolus,Golden Oriole,1.431363764,Red,1,4,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,6.282609,Forest,Not colonial,1.897627091,6
ACCIPITRIFORMES,Pandionidae,Pandion haliaetus,Osprey,2.580924976,Amber,2,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,56.063247,Aquatic,Not colonial,3.171872656,8
PASSERIFORMES,Panuridae,Panurus biarmicus,Bearded Tit,2.346352974,Green,3,5,0.015625,1,1,1,LC,5,Not a Migrant,1,Diurnal,Carnivore,26.580087,Aquatic,Colonial,1.141449773,8
PASSERIFORMES,Paridae,Parus major,Great Tit,3.415307292,Green,3,8,0.015625,1,0,0,LC,5,Not a Migrant,1,Diurnal,Omnivore,9.751935,Forest,Not colonial,1.214181309,4
PASSERIFORMES,Passeridae,Passer montanus,Tree Sparrow,3.27989498,Red,1,7,0,1,0,0,LC,5,Not a Migrant,1,Diurnal,Herbivore,5.778103,Shrubland,Colonial,1.342422681,6
GALLIFORMES,Phasianidae,Perdix perdix,Grey Partridge,3.31993844,Red,1,4,0,1,0,0,LC,5,Not a Migrant,1,Diurnal,Herbivore,6.42296,Open vegetation,Not colonial,2.607990859,5
PASSERIFORMES,Paridae,Periparus ater,Coal Tit,3.411956238,Green,3,7,0,1,0,0,LC,5,Not a Migrant,1,Diurnal,Omnivore,9.766515,Forest,Not colonial,0.963787827,7
ACCIPITRIFORMES,Accipitridae,Pernis apivorus,Honey-buzzard,1.963787827,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,13.626927,Forest,Not colonial,2.879669206,7
SULIFORMES,Phalacrocoracidae,Phalacrocorax aristotelis,Shag,3.013258665,Red,1,2,0.03125,1,0,1,LC,5,Full Migrant,4,Diurnal,Carnivore,8.798803,Aquatic,Colonial,3.248708736,7
SULIFORMES,Phalacrocoracidae,Phalacrocorax carbo,Cormorant,3.388456453,Green,3,5,0.09375,1,0,1,LC,5,Full Migrant,4,Diurnal,Carnivore,8.037685,Aquatic,Colonial,3.410130229,6
CHARADRIIFORMES,Scolopacidae,Phalaropus lobatus,Red-necked Phalarope,0.698970004,Red,1,5,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,15.681869,Aquatic,Colonial,1.565257343,6
PASSERIFORMES,Muscicapidae,Phoenicurus ochruros,Black Redstart,2.890979597,Red,1,5,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.020535,Bare,Not colonial,1.217483944,5
PASSERIFORMES,Muscicapidae,Phoenicurus phoenicurus,Redstart,3.282622113,Amber,2,7,0.03125,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.468176,Shrubland,Not colonial,1.164352856,8
PASSERIFORMES,Phylloscopidae,Phylloscopus collybita,Chiffchaff,3.40277707,Green,3,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.622113,Shrubland,Not colonial,0.919078092,7
PASSERIFORMES,Phylloscopidae,Phylloscopus sibilatrix,Wood Warbler,3.224791956,Red,1,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,7.676215,Forest,Not colonial,0.963787827,8
PASSERIFORMES,Phylloscopidae,Phylloscopus trochilus,Willow Warbler,3.432006687,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.573543,Forest,Not colonial,0.939519253,7
PASSERIFORMES,Corvidae,Pica pica,Magpie,3.345569756,Green,3,5,0,0,1,0,LC,5,Not a Migrant,1,Diurnal,Carnivore,6.552361,Forest,Not colonial,2.338954252,1
PICIFORMES,Picidae,Picus viridis,Green Woodpecker,3.290479813,Green,3,6,0.015625,1,0,0,LC,5,Not a Migrant,1,Diurnal,Carnivore,3.822116,Shrubland,Not colonial,2.245512668,6
PELECANIFORMES,Threskiornithidae,Platalea leucorodia,Spoonbill,2.037426498,Amber,2,2,0,1,1,1,LC,5,Full Migrant,4,Diurnal,Carnivore,14.722264,Aquatic,Colonial,3.271376872,7
PASSERIFORMES,Calcariidae,Plectrophenax nivalis,Snow Bunting,3.067814511,Amber,2,3,0,0,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,9.989341,Open vegetation,Colonial,1.625312459,7
CHARADRIIFORMES,Charadriidae,Pluvialis apricaria,Golden Plover,3.397766256,Green,3,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,14.587036,Open vegetation,Not colonial,2.330413773,7
CHARADRIIFORMES,Charadriidae,Pluvialis squatarola,Grey Plover,2.791690649,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,18.365995,Open vegetation,Not colonial,2.397940009,7
PODICIPEDIFORMES,Podicipedidae,Podiceps auritus,Slavonian Grebe,2.762678564,Red,1,6,0,1,0,0,VU,3,Full Migrant,4,Diurnal,Carnivore,17.72255,Aquatic,Not colonial,2.656098202,7
PODICIPEDIFORMES,Podicipedidae,Podiceps cristatus,Great Crested Grebe,3.176669933,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,15.484202,Aquatic,Not colonial,2.868448501,6
PODICIPEDIFORMES,Podicipedidae,Podiceps grisegena,Red-necked Grebe,2.541579244,Red,1,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,18.074723,Aquatic,Not colonial,3.009875634,5
PODICIPEDIFORMES,Podicipedidae,Podiceps nigricollis,Black-necked Grebe,2.494154594,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,16.956583,Aquatic,Colonial,2.617262517,7
PASSERIFORMES,Paridae,Poecile montanus,Willow Tit,3.184123354,Red,1,6,0,1,0,0,LC,5,Altitudinal Migrant,2,Diurnal,Carnivore,9.135175,Forest,Not colonial,1.041392685,7
PASSERIFORMES,Paridae,Poecile palustris,Marsh Tit,3.182699903,Red,1,6,0,1,0,0,LC,5,Not a Migrant,1,Diurnal,Omnivore,9.77073,Forest,Not colonial,1.047274867,7
GRUIFORMES,Rallidae,Porzana porzana,Spotted Crake,2.041392685,Amber,2,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,9.890714,Aquatic,Not colonial,1.940018155,5
PASSERIFORMES,Prunellidae,Prunella modularis,Dunnock,3.434249452,Amber,2,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,4.903274,Forest,Not colonial,1.306425028,4
PROCELLARIIFORMES,Procellariidae,Puffinus mauretanicus,Balearic Shearwater,1.633468456,Red,1,4,0,0,0,0,CR,1,Full Migrant,4,Nocturnal,Carnivore,6.976273,Aquatic,Colonial,2.714748761,3
PROCELLARIIFORMES,Procellariidae,Puffinus puffinus,Manx Shearwater,2.178976947,Amber,2,4,0,0,0,0,LC,5,Full Migrant,4,Nocturnal,Carnivore,7.270812,Aquatic,Colonial,2.656577291,7
PASSERIFORMES,Corvidae,Pyrrhocorax pyrrhocorax,Chough,2.184691431,Green,3,3,0.015625,1,0,0,LC,5,Not a Migrant,1,Diurnal,Omnivore,13.654552,Bare,Colonial,2.443654068,7
PASSERIFORMES,Fringillidae,Pyrrhula pyrrhula,Bullfinch,3.405858399,Amber,2,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,4.669585,Forest,Not colonial,1.431363764,5
GRUIFORMES,Rallidae,Rallus aquaticus,Water Rail,3.218272854,Green,3,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,8.088098,Artificial,Not colonial,2.047274867,6
CHARADRIIFORMES,Recurvirostridae,Recurvirostra avosetta,Avocet,2.354108439,Amber,2,2,0,1,1,0,LC,5,Full Migrant,4,Diurnal,Carnivore,10.487141,Aquatic,Colonial,2.482873584,7
PASSERIFORMES,Regulidae,Regulus ignicapilla,Firecrest,2.866287339,Green,3,8,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,22.842921,Forest,Not colonial,1.052618107,5
