Order.IUCN,Scientific.name,Common.name.IUCN,ED_score,IUCNstatus,Extinction.risk,habitat_1,tl,social,Colour.richness,Distinct.patterning,Unusual.appendages,Unusual.adornments,tp,Africa.log.Range,log.mass,Sources
CETARTIODACTYLA,Hylochoerus meinertzhageni,"Forest Hog, Western Forest Hog, Giant Forest Hog",17.85767206,LC,5,Forest,Herbivore,Group living,4,0,1,1,Diurnal,6.331936628,2.29695127,16
RODENTIA,Hystrix africaeaustralis,Cape Porcupine,8.811575754,LC,5,Forest,Herbivore,Group living,4,1,0,1,Nocturnal,6.745202432,1.174234886,9
RODENTIA,Hystrix cristata,"Crested Porcupine, North African Crested Porcupine",8.86511461,LC,5,Mosaic,Herbivore,Group living,4,1,0,1,Nocturnal,6.713105047,1.127307962,5
CARNIVORA,Ichneumia albicauda,White-tailed Mongoose,13.75637819,LC,5,Mosaic,Omnivore,Solitary,5,1,0,0,Nocturnal,7.069736423,0.559715158,5
CARNIVORA,Ictonyx libycus,"Libyan Striped Weasel, Saharan Striped Polecat, Saharan Striped Weasel",9.709038987,LC,5,Bare,Carnivore,Solitary,4,1,0,0,Nocturnal,6.704419918,-0.647470185,1
CARNIVORA,Ictonyx striatus,"Zorilla, Striped Weasel, Striped Polecat",9.709038987,LC,5,Mosaic,Carnivore,Solitary,3,1,1,0,Nocturnal,7.084518531,-0.090968436,3
CETARTIODACTYLA,Kobus ellipsiprymnus,Waterbuck,15.75735724,LC,5,Forest,Herbivore,Group living,5,1,0,1,Diurnal,6.914236919,2.310467038,18
CETARTIODACTYLA,Kobus kob,Kob,9.415389097,LC,5,Forest,Herbivore,Group living,5,1,0,1,Diurnal,6.475128361,1.903281089,16
CETARTIODACTYLA,Kobus leche,Southern Lechwe,14.24179423,LC,5,Mosaic,Herbivore,Group living,6,1,0,1,Diurnal,5.303626961,1.947654441,17
CETARTIODACTYLA,Kobus megaceros,Nile Lechwe,14.24179423,EN,2,Open Vegetation,Herbivore,Group living,5,1,0,1,Diurnal,5.043766771,1.933517303,1
CETARTIODACTYLA,Kobus vardonii,Puku,9.415389097,NT,4,Forest,Herbivore,Group living,6,0,0,1,Diurnal,5.529141298,1.854079542,14
CARNIVORA,Leptailurus serval,Serval,11.43935351,LC,5,Forest,Carnivore,Solitary,5,1,0,0,Nocturnal,7.100861723,1.079179798,16
LAGOMORPHA,Lepus capensis,"Cape Hare, Desert Hare, Arabian Hare, Brown Hare",6.03677805,LC,5,Bare,Herbivore,Solitary,7,1,1,0,Nocturnal,6.865117067,0.31114118,3
LAGOMORPHA,Lepus fagani,Ethiopian Hare,9.36444332,NT,4,Mosaic,Herbivore,Solitary,8,1,1,0,Nocturnal,5.290557716,0.2748887,1
LAGOMORPHA,Lepus habessinicus,Abyssinian Hare,6.03677805,LC,5,Mosaic,Herbivore,Solitary,7,1,1,0,Nocturnal,6.100904376,0.304395731,3
LAGOMORPHA,Lepus saxatilis,"Scrub Hare, Savannah Hare",8.237856188,LC,5,Open Vegetation,Herbivore,Solitary,7,1,1,0,Nocturnal,6.137139819,0.413908021,4
LAGOMORPHA,Lepus starcki,Ethiopian Highland Hare,8.298177356,LC,5,Mosaic,Herbivore,Solitary,7,1,1,0,Nocturnal,4.780731997,0.441014496,2
LAGOMORPHA,Lepus victoriae,African Savanna Hare,8.237856188,LC,5,Mosaic,Herbivore,Solitary,7,1,1,0,Nocturnal,7.020838665,0.246402553,1
CETARTIODACTYLA,Litocranius walleri,Gerenuk,7.172299917,NT,4,Mosaic,Herbivore,Group living,5,0,0,1,Diurnal,6.150913129,1.588880637,13
PRIMATES,Lophocebus albigena,"Grey-cheeked Mangabey, White-cheeked Mangabey, Gray-cheeked Mangabey",6.838502754,LC,5,Forest,Herbivore,Group living,4,1,1,1,Diurnal,6.16475085,0.870328395,15
PROBOSCIDEA,Loxodonta africana,African Elephant,36.73655679,VU,3,Forest,Herbivore,Group living,3,0,1,1,Cathemeral,6.311409973,3.582579199,28
PROBOSCIDEA,Loxodonta cyclotis,African Forest Elephant,36.73655679,VU,3,Forest,Herbivore,Group living,5,0,1,1,Cathemeral,6.324500191,3.582579199,4
CARNIVORA,Lycaon pictus,"African Wild Dog, Painted Hunting Dog, Cape Hunting Dog",4.221528043,EN,2,Open Vegetation,Carnivore,Group living,5,1,0,0,Crepuscular,6.077789812,1.342422483,25
PRIMATES,Macaca sylvanus,"Barbary Macaque, Barbary Ape",9.77778939,EN,2,Mosaic,Herbivore,Group living,7,1,0,0,Diurnal,4.617024262,1.059621345,2
CETARTIODACTYLA,Madoqua guentheri,"Guenther's Dik-dik, Guenther's Dikdik, GŸnther's Dik-dik",10.68571609,LC,5,Mosaic,Herbivore,Group living,4,1,1,1,Diurnal,6.103772296,0.664989648,4
CETARTIODACTYLA,Madoqua kirkii,Kirk's Dik-dik,9.598161386,LC,5,Mosaic,Herbivore,Group living,5,1,1,1,Cathemeral,6.125611767,0.684252738,14
CETARTIODACTYLA,Madoqua piacentinii,Silver Dik-dik,9.363254391,VU,3,Mosaic,Herbivore,Group living,5,1,1,1,Cathemeral,4.755076576,0.397940009,1
CETARTIODACTYLA,Madoqua saltiana,Salt's Dik-dik,10.75453355,LC,5,Mosaic,Herbivore,Group living,5,1,1,1,Nocturnal,6.035476536,0.534593366,6
PRIMATES,Mandrillus leucophaeus,Drill,5.604527288,EN,2,Forest,Omnivore,Group living,9,1,0,0,Diurnal,4.629619245,1.153915426,4
PRIMATES,Mandrillus sphinx,Mandrill,5.604527288,VU,3,Forest,Omnivore,Group living,10,1,0,1,Diurnal,5.51146226,1.222327773,9
CARNIVORA,Mellivora capensis,Honey Badger,25.40774537,LC,5,Bare,Omnivore,Solitary,3,1,0,0,Nocturnal,7.363886847,0.954242027,14
PRIMATES,Miopithecus ogouensis,"Northern Talapoin Monkey, Gabon Talapoin",14.38726482,LC,5,Forest,Herbivore,Group living,5,1,1,0,Diurnal,5.687032783,0.096910013,1
PRIMATES,Miopithecus talapoin,"Southern Talapoin Monkey, Talapoin",14.38726482,LC,5,Forest,Omnivore,Group living,5,1,1,0,Diurnal,5.590566116,0.096513756,1
CARNIVORA,Mungos gambianus,Gambian Mongoose,9.127483031,LC,5,Forest,Carnivore,Group living,3,1,0,0,Diurnal,6.14090414,0.216160622,1
CARNIVORA,Mungos mungo,Banded Mongoose,9.127483031,LC,5,Forest,Carnivore,Group living,4,1,0,0,Diurnal,7.013037893,0.100370545,8
CARNIVORA,Mustela subpalmata,Egyptian Weasel,7.16709132,LC,5,Mosaic,Carnivore,Solitary,5,0,0,0,Nocturnal,4.633604757,-1.057991947,1
CARNIVORA,Nandinia binotata,"African Palm Civet, Two-spotted Palm Civet",23.99290447,LC,5,Forest,Omnivore,Solitary,7,1,1,0,Nocturnal,6.731361441,0.335898992,2
CETARTIODACTYLA,Nanger dama,"Dama Gazelle, Addra Gazelle",3.540920197,CR,1,Bare,Herbivore,Group living,5,0,0,1,Diurnal,5.31131347,1.853849094,3
CETARTIODACTYLA,Nanger granti,Grant's Gazelle,3.868079238,LC,5,Mosaic,Herbivore,Group living,5,1,0,1,Diurnal,5.894962919,1.744014789,18
CETARTIODACTYLA,Nanger soemmerringii,Soemmerring's Gazelle,3.540920197,VU,3,Bare,Herbivore,Group living,5,0,0,1,Diurnal,5.455741587,1.618915087,7
CETARTIODACTYLA,Neotragus batesi,"Bates' Pygmy Antelope, Dwarf Antelope",9.499688897,LC,5,Forest,Herbivore,Solitary,7,0,0,1,Cathemeral,5.715998119,0.47238341,1
CETARTIODACTYLA,Neotragus pygmaeus,Royal Antelope,9.471612463,LC,5,Mosaic,Herbivore,Solitary,6,0,0,1,Nocturnal,5.646584371,0.592585313,3
CETARTIODACTYLA,Nesotragus moschatus,Suni,10.04748359,LC,5,Forest,Herbivore,Solitary,6,0,0,1,Diurnal,6.130189687,0.751202865,11
CETARTIODACTYLA,Okapia johnstoni,Okapi,17.12253536,EN,2,Forest,Herbivore,Solitary,5,1,0,1,Diurnal,5.421966041,2.361729988,3
CETARTIODACTYLA,Oreotragus oreotragus,"Klipspringer, Western Klipspringer",9.225853968,LC,5,Forest,Herbivore,Group living,5,0,0,1,Diurnal,6.716503519,1.129900867,14
TUBULIDENTATA,Orycteropus afer,"Aardvark, Antbear",88.83410502,LC,5,Forest,Carnivore,Solitary,5,0,0,0,Nocturnal,7.283717145,1.749544627,14
CETARTIODACTYLA,Oryx beisa,Beisa Oryx,5.932951544,NT,4,Mosaic,Herbivore,Group living,5,1,0,1,Cathemeral,6.02062012,2.302280092,15
CETARTIODACTYLA,Oryx gazella,Gemsbok,5.932951544,LC,5,Open Vegetation,Herbivore,Group living,5,1,1,1,Diurnal,6.246533986,2.275091156,20
CARNIVORA,Otocyon megalotis,Bat-eared Fox,8.846867958,LC,5,Open Vegetation,Omnivore,Group living,6,1,1,0,Nocturnal,6.694302429,0.612584671,18
PRIMATES,Otolemur crassicaudatus,"Thick-tailed Greater Galago, Thick-tailed Bushbaby, Greater Galago, Large-eared Greater Galago, Greater Bushbaby, Garnett's Greater Galago",10.57995519,LC,5,Forest,Omnivore,Solitary,5,1,1,0,Nocturnal,6.747323435,0.08156692,7
PRIMATES,Otolemur garnettii,"Small-eared Greater Galago, Small-eared Galago, Garnett's Greater Galago",10.8155621,LC,5,Forest,Omnivore,Solitary,7,1,1,0,Nocturnal,5.714046799,-0.090888119,2
CETARTIODACTYLA,Ourebia ourebi,Oribi,9.657400878,LC,5,Mosaic,Herbivore,Group living,2,1,0,1,Cathemeral,6.874465942,1.235177082,13
PRIMATES,Pan paniscus,"Bonobo, Pygmy Chimpanzee, Gracile Chimpanzee, Dwarf Chimpanzee",10.29205772,EN,2,Forest,Herbivore,Group living,3,0,0,0,Diurnal,5.618849349,1.545553889,5
PRIMATES,Pan troglodytes,"Chimpanzee, Robust Chimpanzee, Common Chimpanzee",10.29205772,EN,2,Forest,Herbivore,Group living,2,0,0,0,Diurnal,6.376927456,1.653212514,27
CARNIVORA,Panthera leo,"Lion, African Lion",7.662539293,VU,3,Forest,Carnivore,Group living,5,0,0,0,Nocturnal,6.225145769,2.200368706,27
CARNIVORA,Panthera pardus,Leopard,7.662539293,VU,3,Forest,Carnivore,Solitary,5,1,0,0,Nocturnal,6.819378106,1.719331204,28
PRIMATES,Papio anubis,"Olive Baboon, Anubis Baboon",6.2441108,LC,5,Mosaic,Omnivore,Group living,3,0,0,0,Diurnal,6.893580632,1.248673462,17
PRIMATES,Papio cynocephalus,Yellow Baboon,6.314985573,LC,5,Forest,Carnivore,Group living,6,0,0,0,Diurnal,6.285949602,1.199265497,9
PRIMATES,Papio hamadryas,"Hamadryas Baboon, Sacred Baboon",6.355266225,LC,5,Bare,Omnivore,Group living,4,1,0,1,Diurnal,5.652896703,1.146347609,5
PRIMATES,Papio kindae,"Kinda Baboon, Kinda Yellow Baboon",6.314985573,LC,5,Forest,Carnivore,Group living,5,0,0,0,Diurnal,6.370649287,1.199265497,1
PRIMATES,Papio papio,Guinea Baboon,6.317660254,NT,4,Mosaic,Omnivore,Group living,6,1,0,0,Diurnal,5.644923017,1.255900571,3
PRIMATES,Papio ursinus,Chacma Baboon,6.382972475,LC,5,Open Vegetation,Carnivore,Group living,5,0,0,0,Diurnal,6.521770594,1.248695018,13
CARNIVORA,Paracynictis selousi,Selous' Mongoose,12.91947539,LC,5,Mosaic,Carnivore,Solitary,4,1,0,0,Nocturnal,6.078200811,0.222643649,3
CARNIVORA,Parahyaena brunnea,Brown Hyaena,20.52362391,NT,4,Open Vegetation,Omnivore,Group living,6,1,0,0,Nocturnal,6.359673975,1.633245494,18
RODENTIA,Pedetes capensis,"Spring Hare, Springhare, Springhaas",34.2262795,LC,5,Open Vegetation,Herbivore,Solitary,6,1,1,0,Nocturnal,6.47480945,0.406412428,8
RODENTIA,Pedetes surdaster,East African Spring-hare,34.2262795,LC,5,Mosaic,Herbivore,Solitary,6,1,1,0,Nocturnal,5.65986445,-0.4479487,3
CETARTIODACTYLA,Pelea capreolus,"Grey Rhebok, Rhebok, Common Rhebok, Vaal Rhebok",20.26483326,LC,5,Open Vegetation,Herbivore,Group living,5,0,1,1,Diurnal,5.741276498,1.356624847,5
PRIMATES,Perodicticus edwardsi,"Milne-Edwards's Potto, Central Potto",24.8371791,LC,5,Forest,Omnivore,Solitary,5,0,0,0,Nocturnal,6.368786298,0.113943352,3
PRIMATES,Perodicticus ibeanus,"East African Potto, Eastern Potto",24.8371791,LC,5,Forest,Omnivore,Solitary,4,0,0,0,Nocturnal,5.935612026,0.034150992,4
PRIMATES,Perodicticus potto,"Potto, Potto Gibbon",24.8371791,LC,5,Forest,Omnivore,Solitary,6,0,0,0,Nocturnal,5.853752624,0.034150992,4
CETARTIODACTYLA,Phacochoerus aethiopicus,"Desert Warthog, Somali Warthog, Cape Warthog",22.46847649,LC,5,Mosaic,Herbivore,Group living,5,0,1,1,Diurnal,5.501867665,1.878564993,1
CETARTIODACTYLA,Phacochoerus africanus,"Common Warthog, Warthog, Eritrean Warthog",22.46847649,LC,5,Forest,Herbivore,Group living,5,0,1,1,Diurnal,6.997181724,1.916453896,18
PHOLIDOTA,Phataginus tetradactyla,"Black-bellied Pangolin, Long-tailed Pangolin",19.42753407,VU,3,Forest,Carnivore,Solitary,6,0,1,1,Diurnal,6.433019247,0.439329535,4
PHOLIDOTA,Phataginus tricuspis,"White-bellied Pangolin, African White-bellied Pangolin, Tree Pangolin, Three-cusped Pangolin",19.29443987,VU,3,Forest,Carnivore,Solitary,6,0,1,1,Nocturnal,6.773069407,0.187326091,5
CETARTIODACTYLA,Philantomba maxwellii,Maxwell's Duiker,10.11768052,LC,5,Forest,Omnivore,Solitary,4,1,0,1,Diurnal,5.940130409,0.93235655,2
CETARTIODACTYLA,Philantomba monticola,Blue Duiker,10.11768052,LC,5,Forest,Omnivore,Solitary,7,1,0,1,Diurnal,6.68390577,0.689845844,13
PRIMATES,Piliocolobus badius,"West African Red Colobus, Bay Colobus, Western Red Colobus, Red Colobus",6.238757238,EN,2,Mosaic,Herbivore,Group living,4,1,1,0,Diurnal,5.456100349,0.925848181,7
PRIMATES,Piliocolobus foai,Foa's Red Colobus,6.238757238,EN,2,Mosaic,Herbivore,Group living,8,1,1,0,Diurnal,5.456580075,0.925848181,1
PRIMATES,Piliocolobus gordonorum,"Udzungwa Red Colobus, Uhehe Red Colobus",5.314420987,EN,2,Forest,Herbivore,Group living,4,1,1,0,Diurnal,3.765651912,0.952698682,2
PRIMATES,Piliocolobus preussi,"Preuss's Red Colobus, Preuss's Red Colobus",6.238757238,CR,1,Forest,Herbivore,Group living,6,1,1,0,Diurnal,3.537999459,0.947713521,1
PRIMATES,Piliocolobus rufomitratus,"Eastern Red Colobus, Tana River Red Colobus",8.139490482,EN,2,Forest,Herbivore,Group living,4,1,1,0,Diurnal,2.303732223,0.904756106,2
PRIMATES,Piliocolobus tephrosceles,"Ashy Red Colobus, Uganda Red Colobus",6.238757238,EN,2,Mosaic,Herbivore,Group living,5,1,1,0,Diurnal,3.585125135,0.986771734,12
CARNIVORA,Poecilogale albinucha,African Striped Weasel,14.97217828,LC,5,Forest,Carnivore,Solitary,2,1,1,0,Nocturnal,6.752224119,-0.511223734,1
LAGOMORPHA,Poelagus marjorita,Bunyoro Rabbit,15.12094286,LC,5,Forest,Herbivore,Group living,6,1,0,0,Nocturnal,5.148218516,0.399621811,1
CETARTIODACTYLA,Potamochoerus larvatus,Bushpig,14.31035089,LC,5,Forest,Herbivore,Group living,6,1,1,1,Nocturnal,6.70263254,1.839250407,16
CETARTIODACTYLA,Potamochoerus porcus,Red River Hog,14.31035089,LC,5,Forest,Herbivore,Group living,6,1,1,0,Nocturnal,6.620478408,1.845099963,8
HYRACOIDEA,Procavia capensis,"Rock Hyrax, Rock Dassie",30.45529732,LC,5,Bare,Herbivore,Group living,5,0,0,0,Diurnal,7.115896099,0.470186964,14
PRIMATES,Procolobus verus,"Olive Colobus, Van Beneden's Colobus",10.91296499,NT,4,Mosaic,Herbivore,Group living,4,1,1,0,Diurnal,5.604271229,0.599649494,5
LAGOMORPHA,Pronolagus randensis,"Jameson's Red Rock Hare, Jameson's Red Rockhare",17.72685636,LC,5,Open Vegetation,Herbivore,Solitary,6,0,1,0,Crepuscular,5.796796119,0.375932336,2
LAGOMORPHA,Pronolagus rupestris,"Smith's Red Rock Hare, Smith's Red Rockhare",17.40501793,LC,5,Open Vegetation,Herbivore,Solitary,5,0,1,0,Nocturnal,5.664021764,0.352180588,1
CARNIVORA,Proteles cristata,Aardwolf,29.11644048,LC,5,Open Vegetation,Carnivore,Group living,4,1,0,0,Nocturnal,6.775052091,0.910591858,17
CETARTIODACTYLA,Raphicerus campestris,Steenbok,6.946173386,LC,5,Open Vegetation,Herbivore,Group living,6,1,0,1,Cathemeral,6.553336681,1.066755534,6
CETARTIODACTYLA,Raphicerus melanotis,Cape Grysbok,7.930912885,LC,5,Forest,Herbivore,Solitary,6,0,0,1,Nocturnal,5.247841779,1.021319154,3
CETARTIODACTYLA,Raphicerus sharpei,Sharpe's Grysbok,6.946173386,LC,5,Forest,Herbivore,Solitary,5,0,0,1,Nocturnal,6.391388798,0.972984605,5
CETARTIODACTYLA,Redunca arundinum,"Southern Reedbuck, Common Reedbuck",11.31819486,LC,5,Forest,Herbivore,Group living,6,1,0,1,Cathemeral,6.676590931,1.763871347,16
CETARTIODACTYLA,Redunca fulvorufula,"Mountain Reedbuck, Western Mountain Reedbuck",12.88171191,LC,5,Mosaic,Herbivore,Group living,5,1,0,1,Cathemeral,6.018938328,1.467647464,10
CETARTIODACTYLA,Redunca redunca,"Bohor Reedbuck, Bohor, Bohar Reedbuck",11.31819486,LC,5,Mosaic,Herbivore,Group living,6,1,0,1,Nocturnal,6.770529488,1.636377052,3
PRIMATES,Sciurocheirus gabonensis,Gabon Allen's Galago,14.07460739,LC,5,Forest,Omnivore,Group living,7,1,1,0,Nocturnal,5.832625031,-0.455931955,1
PHOLIDOTA,Smutsia gigantea,"Giant Ground Pangolin, Giant Pangolin",18.89700298,VU,3,Forest,Carnivore,Solitary,6,0,1,1,Nocturnal,6.508592805,1.518509992,3
PHOLIDOTA,Smutsia temminckii,"Temminck's Ground Pangolin, Steppe Pangolin, Scaly Anteater, South African Pangolin, Ground Pangolin, Cape Pangolin",19.66627431,VU,3,Mosaic,Carnivore,Solitary,5,0,1,1,Nocturnal,6.845487308,1.077140341,5
CARNIVORA,Suricata suricatta,"Meerkat, Slender-tailed Meerkat, Suricate",14.93639682,LC,5,Open Vegetation,Omnivore,Group living,4,1,0,0,Diurnal,6.243972591,-0.136683089,17
CETARTIODACTYLA,Sus scrofa,"Wild Boar, Eurasian Wild Pig, Ryukyu Islands Wild Pig",9.452658163,LC,5,Mosaic,Omnivore,Group living,5,0,0,0,Nocturnal,5.732018747,1.926710412,1
CETARTIODACTYLA,Sylvicapra grimmia,"Common Duiker, Grey Duiker",6.796953163,LC,5,Forest,Herbivore,Solitary,5,1,0,1,Diurnal,7.061268159,1.194213145,11
CETARTIODACTYLA,Syncerus caffer,African Buffalo,14.00586373,LC,5,Forest,Herbivore,Group living,3,0,0,1,Nocturnal,6.892398712,2.772809999,25
PRIMATES,Theropithecus gelada,Gelada Baboon,9.840108484,LC,5,Mosaic,Herbivore,Group living,7,1,0,1,Diurnal,5.016413515,1.203144712,13
CETARTIODACTYLA,Tragelaphus angasii,Nyala,11.87504752,LC,5,Forest,Herbivore,Group living,6,1,0,1,Crepuscular,5.291015619,1.942587189,14
CETARTIODACTYLA,Tragelaphus buxtoni,Mountain Nyala,11.22291337,EN,2,Mosaic,Herbivore,Group living,5,1,0,1,Nocturnal,3.837275091,2.332439975,9
CETARTIODACTYLA,Tragelaphus derbianus,"Giant Eland, Western Giant Eland",9.982664825,LC,5,Forest,Herbivore,Group living,5,1,0,1,Nocturnal,5.573161465,2.810248821,2
CETARTIODACTYLA,Tragelaphus eurycerus,Bongo,10.81099358,NT,4,Forest,Herbivore,Group living,6,1,0,1,Nocturnal,6.345820011,2.432966679,11
CETARTIODACTYLA,Tragelaphus imberbis,Lesser Kudu,11.5999203,NT,4,Mosaic,Herbivore,Group living,6,1,0,1,Nocturnal,6.172727889,1.974605588,13
CETARTIODACTYLA,Tragelaphus oryx,"Common Eland, Eland",9.982664825,LC,5,Forest,Herbivore,Group living,5,0,0,1,Cathemeral,6.695878557,2.750194085,19
CETARTIODACTYLA,Tragelaphus scriptus,Bushbuck,12.35277241,LC,5,Forest,Herbivore,Group living,6,1,0,1,Nocturnal,6.995530753,1.635990028,19
CETARTIODACTYLA,Tragelaphus spekii,"Sitatunga, Marshbuck",10.81099358,LC,5,Forest,Herbivore,Group living,5,1,0,1,Cathemeral,6.579564958,1.878258899,18
CETARTIODACTYLA,Tragelaphus strepsiceros,Greater Kudu,11.2645831,LC,5,Mosaic,Herbivore,Group living,6,1,0,1,Cathemeral,6.782855473,2.313986129,19
CARNIVORA,Vulpes chama,"Cape Fox, Silver Jackal, Silver Fox",5.454765503,LC,5,Open Vegetation,Carnivore,Group living,5,1,1,0,Nocturnal,6.326474368,0.465353104,9
CARNIVORA,Vulpes pallida,"Pale Fox, Pallid Fox, African Sand Fox",5.470525409,LC,5,Bare,Omnivore,Group living,4,0,0,0,Nocturnal,6.618170953,0.447159583,2
CARNIVORA,Vulpes rueppellii,"RŸppel's Fox, RŸppell's Sand Fox, RŸppell's Fox, RŸppell's Sand Fox, RŸeppell's Fox, Rueppell's Fox, Sand Fox",3.560572771,LC,5,Bare,Omnivore,Solitary,4,1,1,0,Nocturnal,6.966623496,0.511879352,2
CARNIVORA,Vulpes vulpes,"Red Fox, Silver Fox, Cross Fox",3.560572771,LC,5,Forest,Omnivore,Group living,5,1,0,0,Nocturnal,6.088066192,0.683079474,1
CARNIVORA,Vulpes zerda,Fennec Fox,4.590209815,LC,5,Bare,Omnivore,Solitary,5,1,1,0,Nocturnal,6.938159193,0.119628642,6

