Order.IUCN,Scientific.name,Common.name.IUCN,ED_score,IUCNstatus,Extinction.risk,habitat_1,tl,social,Colour.richness,Distinct.patterning,Unusual.appendages,Unusual.adornments,tp,Africa.log.Range,log.mass,Sources
CETARTIODACTYLA,Cephalophus leucogaster,White-bellied Duiker,5.450057199,NT,4,Forest,Omnivore,Solitary,4,1,0,1,Nocturnal,5.855175173,1.120859748,2
CETARTIODACTYLA,Cephalophus natalensis,"Natal Red Duiker, Natal Duiker, Red Forest Duiker",4.525200401,LC,5,Forest,Omnivore,Solitary,6,1,0,1,Diurnal,5.411424376,1.104641067,9
CETARTIODACTYLA,Cephalophus niger,Black Duiker,5.582855126,LC,5,Forest,Omnivore,Solitary,5,1,0,1,Diurnal,5.881388293,1.280904197,3
CETARTIODACTYLA,Cephalophus nigrifrons,Black-fronted Duiker,3.818157572,LC,5,Forest,Omnivore,Solitary,6,1,0,1,Diurnal,6.409480659,1.166617468,7
CETARTIODACTYLA,Cephalophus ogilbyi,Ogilby's Duiker,4.115368546,LC,5,Forest,Omnivore,Solitary,7,1,0,1,Diurnal,5.317998908,1.264497177,3
CETARTIODACTYLA,Cephalophus rufilatus,Red-flanked Duiker,3.818157572,LC,5,Forest,Omnivore,Solitary,6,1,0,1,Diurnal,6.466629609,1.083308004,3
CETARTIODACTYLA,Cephalophus silvicultor,Yellow-backed Duiker,4.957738237,NT,4,Forest,Omnivore,Solitary,6,1,0,1,Cathemeral,6.74298026,1.792437918,10
CETARTIODACTYLA,Cephalophus spadix,"Abbott's Duiker, Minde",4.957738237,EN,2,Forest,Herbivore,Solitary,6,1,0,1,Nocturnal,3.789084666,1.754784093,3
CETARTIODACTYLA,Cephalophus weynsi,"Weyns' Duiker, Weyn's Duiker",4.041883235,LC,5,Forest,Omnivore,Solitary,5,1,0,1,Diurnal,6.171540819,1.197280558,2
CETARTIODACTYLA,Cephalophus zebra,"Zebra Duiker, Banded Duiker, Zebra Antelope",5.479897802,VU,3,Forest,Omnivore,Solitary,5,1,0,1,Diurnal,4.770065564,1.194646136,3
PERISSODACTYLA,Ceratotherium simum,"White Rhinoceros, Northern White Rhinoceros, Square-lipped Rhinoceros",26.63195412,NT,4,Open Vegetation,Herbivore,Solitary,2,1,0,1,Crepuscular,6.661931152,3.359064719,21
PRIMATES,Cercocebus agilis,Agile Mangabey,6.19930404,LC,5,Forest,Herbivore,Group living,5,1,1,0,Diurnal,6.022186999,0.851601978,3
PRIMATES,Cercocebus atys,"Sooty/white-naped Mangabey, Sooty Mangabey, Red-capped Monkey",6.475643652,NT,4,Mosaic,Omnivore,Group living,4,1,1,0,Diurnal,5.499030954,0.841437061,2
PRIMATES,Cercocebus galeritus,"Tana River Crested Mangabey, Tana River Mangabey",6.983602338,EN,2,Forest,Omnivore,Group living,4,1,1,0,Diurnal,2.305927588,0.849889696,1
PRIMATES,Cercocebus sanjei,"Sanje Mangabey, Sanje River Mangabey, Sanje Crested Mangabey",6.466699544,EN,2,Forest,Herbivore,Group living,5,1,1,0,Diurnal,2.274401663,0.90579588,2
PRIMATES,Cercocebus torquatus,"White-collared Mangabey, Collared Mangabey, Sooty Mangabey, Red-capped Mangabey",6.475643652,VU,3,Forest,Omnivore,Group living,4,1,1,0,Diurnal,5.456279943,0.862910382,4
PRIMATES,Cercopithecus albogularis,Sykes' monkey,6.303432815,LC,5,Forest,Herbivore,Group living,5,1,1,1,Diurnal,6.364985474,0.702541681,3
PRIMATES,Cercopithecus ascanius,"Red-tailed Monkey, Redtail Monkey, Black-cheeked White-nosed Monkey, Red-tailed Guenon, Schmidt's Guenon",5.839527241,LC,5,Forest,Herbivore,Group living,7,1,1,0,Diurnal,6.229633469,0.549032705,15
PRIMATES,Cercopithecus campbelli,"Campbell's Monkey, Lowe's Monkey, Campbell's Guenon",4.801047826,LC,5,Mosaic,Herbivore,Group living,6,1,1,0,Diurnal,5.443401796,0.559634956,1
PRIMATES,Cercopithecus cephus,"Moustached Monkey, Moustached Guenon",6.002773006,LC,5,Forest,Omnivore,Group living,9,1,1,0,Diurnal,5.891379889,0.537174098,5
PRIMATES,Cercopithecus denti,Dent's Monkey,4.724675827,LC,5,Forest,Herbivore,Group living,6,1,1,0,Diurnal,5.611190114,0.62838893,3
